species,climate,management,number
Ant_odo,ambient,grazing,260
Cre_bie,ambient,grazing,468
Dia_car,ambient,grazing,340
Lot_cor,ambient,grazing,220
Lyc_flo,ambient,grazing,108
Med_fal,ambient,grazing,272
Pla_lan,ambient,grazing,572
Sca_och,ambient,grazing,424
Tra_ori,ambient,grazing,492
Tri_pra,ambient,grazing,276
Ant_odo,future,grazing,320
Cre_bie,future,grazing,88
Dia_car,future,grazing,116
Lot_cor,future,grazing,300
Lyc_flo,future,grazing,108
Med_fal,future,grazing,300
Pla_lan,future,grazing,272
Sca_och,future,grazing,400
Tra_ori,future,grazing,228
Tri_pra,future,grazing,260
Ant_odo,ambient,mowing,340
Cre_bie,ambient,mowing,464
Dia_car,ambient,mowing,68
Lot_cor,ambient,mowing,180
Lyc_flo,ambient,mowing,64
Med_fal,ambient,mowing,284
Pla_lan,ambient,mowing,380
Sca_och,ambient,mowing,288
Tra_ori,ambient,mowing,580
Tri_pra,ambient,mowing,448
Ant_odo,future,mowing,532
Cre_bie,future,mowing,72
Dia_car,future,mowing,236
Lot_cor,future,mowing,220
Lyc_flo,future,mowing,20
Med_fal,future,mowing,348
Pla_lan,future,mowing,236
Sca_och,future,mowing,428
Tra_ori,future,mowing,356
Tri_pra,future,mowing,432
