plot,years,site,plant_id,ind_t0,size_t1,surv,no_fl,SL,new_ind
1,2018 - 2019,Halle,1,1,4,1,0,3,0
1,2018 - 2019,Halle,2,1,6,1,0,3,0
1,2018 - 2019,Halle,2,1,6,1,0,3,0
1,2018 - 2019,Halle,3,1,1,1,0,3,0
1,2018 - 2019,Halle,4,1,2,1,0,3,0
1,2018 - 2019,Halle,5,1,3,1,0,3,0
1,2018 - 2019,Halle,5,1,3,1,0,3,0
1,2018 - 2019,Halle,6,1,5,1,0,3,0
1,2018 - 2019,Halle,6,0,5,0,0,3,1
1,2018 - 2019,Halle,7,1,8,1,0,3,0
1,2018 - 2019,Halle,8,1,4,1,0,3,0
1,2018 - 2019,Halle,8,1,4,1,0,3,0
1,2018 - 2019,Halle,9,1,9,1,2,3,0
1,2018 - 2019,Halle,11,1,7,1,2,3,0
1,2018 - 2019,Halle,13,1,2,1,0,3,0
1,2018 - 2019,Halle,15,1,2,1,0,3,0
1,2018 - 2019,Halle,17,1,7,1,0,3,0
1,2018 - 2019,Halle,19,1,9,1,0,3,0
2,2018 - 2019,Halle,21,1,17,1,0,0,0
2,2018 - 2019,Halle,23,1,10,1,0,0,0
2,2018 - 2019,Halle,25,1,4,1,0,0,0
2,2018 - 2019,Halle,25,1,4,1,0,0,0
5,2018 - 2019,Halle,28,1,NA,0,0,2,0
5,2018 - 2019,Halle,32,1,NA,0,0,2,0
5,2018 - 2019,Halle,33,1,NA,0,0,2,0
5,2018 - 2019,Halle,34,1,NA,0,0,2,0
5,2018 - 2019,Halle,57,1,NA,0,0,2,0
5,2018 - 2019,Halle,45,1,NA,0,0,2,0
5,2018 - 2019,Halle,45,1,NA,0,0,2,0
5,2018 - 2019,Halle,44,1,NA,0,0,2,0
5,2018 - 2019,Halle,48,1,NA,0,0,2,0
5,2018 - 2019,Halle,41,1,5,1,0,2,0
5,2018 - 2019,Halle,37,1,5,1,0,2,0
5,2018 - 2019,Halle,38,1,5,1,0,2,0
5,2018 - 2019,Halle,36,1,5,1,1,2,0
5,2018 - 2019,Halle,42,1,4,1,1,2,0
5,2018 - 2019,Halle,29,1,NA,0,0,2,0
5,2018 - 2019,Halle,31,1,NA,0,1,2,0
5,2018 - 2019,Halle,46,1,4,1,1,2,0
5,2018 - 2019,Halle,43,1,NA,0,0,2,0
5,2018 - 2019,Halle,47,1,NA,0,0,2,0
6,2018 - 2019,Halle,66,1,NA,0,0,2,0
6,2018 - 2019,Halle,69,1,NA,0,0,2,0
6,2018 - 2019,Halle,69,1,NA,0,0,2,0
6,2018 - 2019,Halle,86,1,NA,0,0,2,0
6,2018 - 2019,Halle,71,1,NA,0,0,2,0
6,2018 - 2019,Halle,83,1,NA,0,1,2,0
6,2018 - 2019,Halle,89,1,NA,0,0,2,0
6,2018 - 2019,Halle,67,1,NA,0,0,2,0
6,2018 - 2019,Halle,67,1,NA,0,0,2,0
6,2018 - 2019,Halle,87,1,NA,0,0,2,0
