plot,years,site,plant_id,size_t0,size_t1,surv,no_fl,SL,new_ind
1,2018 - 2019,Halle,1,6,4,1,0,3,0
1,2018 - 2019,Halle,2,4,6,1,0,3,0
1,2018 - 2019,Halle,2,4,6,1,0,3,0
1,2018 - 2019,Halle,3,3,1,1,0,3,0
1,2018 - 2019,Halle,4,5,2,1,0,3,0
1,2018 - 2019,Halle,5,5,3,1,0,3,0
1,2018 - 2019,Halle,5,4,3,1,0,3,0
1,2018 - 2019,Halle,6,5,5,1,0,3,0
1,2018 - 2019,Halle,6,NA,5,0,0,3,1
1,2018 - 2019,Halle,7,7,8,1,0,3,0
1,2018 - 2019,Halle,8,6,4,1,0,3,0
1,2018 - 2019,Halle,8,2,4,1,0,3,0
1,2018 - 2019,Halle,9,4,9,1,2,3,0
1,2018 - 2019,Halle,11,6,7,1,2,3,0
1,2018 - 2019,Halle,13,3,2,1,0,3,0
1,2018 - 2019,Halle,15,4,2,1,0,3,0
1,2018 - 2019,Halle,17,5,7,1,0,3,0
1,2018 - 2019,Halle,19,4,9,1,0,3,0
2,2018 - 2019,Halle,21,6,17,1,0,0,0
2,2018 - 2019,Halle,23,5,10,1,0,0,0
2,2018 - 2019,Halle,25,4,4,1,0,0,0
2,2018 - 2019,Halle,25,2,4,1,0,0,0
5,2018 - 2019,Halle,28,4,NA,0,0,2,0
5,2018 - 2019,Halle,32,4,NA,0,0,2,0
5,2018 - 2019,Halle,33,3,NA,0,0,2,0
5,2018 - 2019,Halle,34,3,NA,0,0,2,0
5,2018 - 2019,Halle,57,6,NA,0,0,2,0
5,2018 - 2019,Halle,45,3,NA,0,0,2,0
5,2018 - 2019,Halle,45,1,NA,0,0,2,0
5,2018 - 2019,Halle,44,4,NA,0,0,2,0
5,2018 - 2019,Halle,48,2,NA,0,0,2,0
5,2018 - 2019,Halle,41,4,5,1,0,2,0
5,2018 - 2019,Halle,37,7,5,1,0,2,0
5,2018 - 2019,Halle,38,6,5,1,0,2,0
5,2018 - 2019,Halle,36,7,5,1,1,2,0
5,2018 - 2019,Halle,42,8,4,1,1,2,0
5,2018 - 2019,Halle,29,2,NA,0,0,2,0
5,2018 - 2019,Halle,31,8,NA,0,1,2,0
5,2018 - 2019,Halle,46,5,4,1,1,2,0
5,2018 - 2019,Halle,43,5,NA,0,0,2,0
5,2018 - 2019,Halle,47,4,NA,0,0,2,0
6,2018 - 2019,Halle,66,4,NA,0,0,2,0
6,2018 - 2019,Halle,69,9,NA,0,0,2,0
6,2018 - 2019,Halle,69,5,NA,0,0,2,0
6,2018 - 2019,Halle,86,4,NA,0,0,2,0
6,2018 - 2019,Halle,71,5,NA,0,0,2,0
6,2018 - 2019,Halle,83,4,NA,0,1,2,0
6,2018 - 2019,Halle,89,4,NA,0,0,2,0
6,2018 - 2019,Halle,67,3,NA,0,0,2,0
6,2018 - 2019,Halle,67,4,NA,0,0,2,0
6,2018 - 2019,Halle,87,5,NA,0,0,2,0
6,2018 - 2019,Halle,70,3,NA,0,2,2,0
6,2018 - 2019,Halle,84,4,NA,0,0,2,0
